team_A,team_B,first_kick_team,first_kick_result,win_team,total_success_rate_A,total_success_rate_B,competition,year,stage,shootout_length
Everton,Borussia Monchengladbach,A,saved,A,0.8,0.6,UCL,1970,Round of 16,10
Celtic,Inter,A,missed,B,0.8,1.0,UCL,1972,Semi Finals,10
Atvidabergs,Bayern Munich,B,scored,B,0.6,0.8,UCL,1973,First Round,10
Ujpesti Dozsa,Spartak Trnava,A,scored,A,1.0,0.75,UCL,1974,Quarter Finals,8
Mgdeburg,Malmo,A,missed,B,0.2,0.4,UCL,1975,First Round,9
Torpedo Moskau,Benfica,B,scored,B,0.33,1.0,UCL,1977,First Round,7
Juventus,Ajax,A,missed,A,0.75,0.0,UCL,1978,Quarter Finals,7
Dynamo Dresden,Partizan,B,missed,A,0.71,0.57,UCL,1978,First Round,14
Liverpool,Roma,A,missed,A,0.8,0.5,UCL,1984,Final,9
BFC Dynamo,Aberdeen,B,scored,A,0.83,0.66,UCL,1984,First Round,12
Dnipro,Bordeaux,B,scored,B,0.75,1.0,UCL,1985,Quarter Finals,9
Barcelona,Goteborg,B,scored,A,0.83,0.66,UCL,1986,Semi Finals,12
Steaua Bucharest,Barcelona,A,saved,A,0.5,0.0,UCL,1986,Final,8
Juventus,Real Madrid,B,saved,B,0.25,0.75,UCL,1986,Round of 16,8
PSV,Benfica,A,scored,A,1.0,0.83,UCL,1988,Final,12
Xamax,Larisa,A,scored,A,1.0,0.0,UCL,1988,First Round,6
Red Star,Mila,A,scored,B,0.5,1.0,UCL,1988,Round of 16,8
Malmo,Dyanmo Drezden,A,saved,B,0.8,1.0,UCL,1990,Round of 16,10
Spartak Moscow,Napoli,A,scored,A,1.0,0.75,UCL,1990,Round of 16,9
Red Star,Marseille,A,scored,A,1.0,0.75,UCL,1991,Final,9
Juventus,Ajax,B,saved,A,1.0,0.5,UCL,1996,Final,8
Bayern Munich,Valencia,A,missed,A,0.71,0.57,UCL,2001,Final,14
Juventus,Milan,A,saved,B,0.4,0.6,UCL,2003,Final,10
PSV,Lyon,A,scored,A,0.8,0.5,UCL,2005,Quarter Final,9
Milan,Liverpool,A,missed,B,0.4,0.75,UCL,2005,Final,9
Liverpool,Chelsea,A,scored,A,1.0,0.33,UCL,2007,Semi Finals,7
Sevilla,Fenerbahce,A,scored,B,0.4,0.75,UCL,2008,Round of 16,9
Porto,Shalke,B,scored,B,0.33,1.0,UCL,2008,Round of 16,7
Manchester United,Chelsea,A,scored,A,0.86,0.71,UCL,2008,Final,14
Roma,Arsenal,B,saved,B,0.75,0.87,UCL,2009,Round of 16,16
APOEL,Lyon,B,scored,A,1.0,0.6,UCL,2012,Round of 16,9
Real Madrid,Bayern Munich,B,scored,B,0.25,0.6,UCL,2012,Semi Finals,9
Bayern Munich,Chalsea,A,scored,B,0.6,0.8,UCL,2012,Final,10
Atletico Madrid,Bayer Leverkusen,A,missed,A,0.6,0.4,UCL,2015,Round of 16,10
Atletico Madrid,PSV,B,scored,A,1.0,0.87,UCL,2016,Round of 16,16
Real Madrid,Atletico Madrid,A,scored,A,1.0,0.8,UCL,2016,Final,10
Arsenal,Porto,A,scored,A,1.0,0.5,UCL,2024,Round of 16,8
Atletico Madrid,Inter,B,scored,A,0.75,0.4,UCL,2024,Round of 16,9
Manchester City,Real Madrid,A,scored,B,0.6,0.8,UCL,2024,Quarter Finals,10
Liverpool,PSG,B,scored,B,0.3,1.0,UCL,2025,Round of 16,7
Atletico Madrid,Real Madrid,B,scored,B,0.5,0.8,UCL,2025,Round of 16,9
West Germany,France,B,scored,A,0.83,0.66,WC,1982,Semi Finals,12
France,Brazil,B,missed,A,0.8,0.6,WC,1986,Quarter Finals,10
